sitename,sitetype,easting,northing,NO2annualmean2006,NO2annualmean2007,NO2annualmean2008,NO2annualmean2009,NO2annualmean2010,NO2annualmean2011,tem2006,tem2007,tem2008,tem2009,tem2010,tem2011,NO2modelled2006,NO2modelled2007,NO2modelled2008,NO2modelled2009,NO2modelled2010,NO2modelled2011,PM10annualmean2006,PM10annualmean2007,PM10annualmean2008,PM10annualmean2009,PM10annualmean2010,PM10annualmean2011,PM10modelled2006,PM10modelled2007,PM10modelled2008,PM10modelled2009,PM10modelled2010,PM10modelled2011,MISSINGALL,,Ozoneannualmean2006,Ozoneannualmean2007,Ozoneannualmean2008,Ozoneannualmean2009,Ozoneannualmean2010,PM25annualmean2006,PM25annualmean2007,PM25annualmean2008,PM25annualmean2009,PM25annualmean2010,SO2annualmean2006,SO2annualmean2007,SO2annualmean2008,SO2annualmean2009,SO2annualmean2010,COannualmean2006,COannualmean2007,COannualmean2008,COannualmean2009,COannualmean2010
Dundee Whitehall Street,Roadside,340277.72,730154.91,40,42,47,38,36,35,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,17.49774,20.15187,21.58624,20.62922,23.54741,19.67514,NA,NA,NA,NA,NA,NA,17.70058,17.87932,15.34092,12.27378,14.37996,13.88581,203,,,,,,,,,,,,,,,,,,,,,
Dundee Meadowside,Roadside,340243.04,730658.37,NA,NA,NA,NA,NA,NA,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,17.49774,20.15187,21.58624,20.62922,23.54741,19.67514,NA,NA,NA,NA,NA,NA,17.70058,17.87932,15.34092,12.27378,14.37996,13.88581,0,,,,,,,,,,,,,,,,,,,,,
Dundee Seagate,Kerbside,340486.33,730446.2,NA,49,52,NA,51,52,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,17.49774,20.15187,21.58624,20.62922,23.54741,19.67514,NA,NA,NA,NA,NA,NA,17.70058,17.87932,15.34092,12.27378,14.37996,13.88581,152,,,,,,,,,,,,,,,,,,,,,
Dundee Mains Loan,Urban Background,340970.55,731892.31,NA,NA,NA,NA,NA,10,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,19.44716,18.7966,19.97762,18.83313,19.4236,16.35838,NA,15,13,13,13,19,18.60423,18.79169,15.3726,11.79244,13.31698,13.08731,54,,,,,,,,,,,,,,,,,,,,,
Fort William,Suburban,210849.73,774418.72,NA,9,11,9,13,NA,9.691666667,9.86,9.305833333,9.4225,7.978333333,9.669166667,NA,4.075444,3.798423,3.651296,3.828754,3.401731,NA,NA,NA,NA,NA,NA,9.151186,9.498367,8.656399,8.367464,8.951096,9.225423,42,,NA,54,56,53,47,,,,,,,,,,,,,,,
Inverness,Roadside,265708.85,845668.85,21,22,21,21,24,27,9.103333333,9.048333333,8.500833333,8.718333333,7.39,8.9125,7.358268,9.329077,7.497184,7.313851,7.567094,6.543958,NA,NA,NA,NA,NA,NA,8.867421,9.246336,7.921215,8.46467,8.894489,8.927842,109,,,,,,,,,,,,,,,,,0.4,NA,NA,NA,NA
Aberdeen Union Street Roadside,Roadside,393655.92,805967.6,49,53,55,NA,58,44,9.08,9.064166667,8.639166667,8.825833333,7.588333333,9.053333333,20.4448,21.59837,23.45472,24.22231,27.07475,23.55949,26,19,22,18,18,24,14.28631,13.45976,12.33153,13.56005,14.69309,15.19887,318,,,,,,,,,,,,,,,,,,,,,
Aberdeen Market Street 2,Roadside,394551.62,805673.18,NA,NA,NA,NA,44,40,9.08,9.064166667,8.639166667,8.825833333,7.588333333,9.053333333,18.86836,21.64378,26.62911,28.00062,34.12621,28.36249,NA,NA,NA,NA,NA,20,13.59727,13.38064,12.8271,14.01356,15.41964,15.85235,44,,,,,,,,,,,,,,,,,,,,,
Aberdeen Errol Place,Urban Background,394395.8,807391.98,27,24,25,26,NA,23,9.08,9.064166667,8.639166667,8.825833333,7.588333333,9.053333333,16.41613,23.95995,28.23328,29.82194,29.62543,22.94971,20,17,16,15,13,14,13.26544,15.86747,14.60282,15.40306,15.50937,14.42037,194,,48,47,50,42,44,NA,NA,AN,NA,7,3,3,NA,NA,NA,0.3,0.3,NA,NA,NA
Aberdeen King Street,Roadside,394333,808770,NA,NA,NA,32,29,32,9.08,9.064166667,8.639166667,8.825833333,7.588333333,9.053333333,13.31091,18.02566,21.01347,22.54115,22.95898,20.05293,NA,NA,NA,17,18,22,11.89669,12.79392,12.32299,13.13675,13.4069,14.15419,96,,,,,,,,,,,,,,,,,,,,,
Paisley St James St,Roadside,248174.75,664319.96,NA,NA,NA,NA,NA,NA,9.925,9.939166667,9.3275,9.463333333,8.271666667,9.6475,23.21597,20.2331,19.02036,19.73101,23.29403,18.60697,NA,NA,NA,NA,NA,17,15.37285,13.4539,11.84209,12.67026,14.18737,13.74182,0,,,,,,,,,,,,,,,,,,,,,
Glasgow Broomhill,Roadside,255030.58,667194.37,NA,NA,NA,NA,NA,NA,9.654166667,9.653333333,9.060833333,9.185833333,7.984166667,9.394166667,23.57667,19.00979,19.45935,19.4108,19.97381,19.37579,NA,NA,19,18,19,18,15.98516,13.40461,11.72343,12.49258,13.86034,14.02003,56,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire Sheddens,Roadside,257455.78,657113.88,NA,NA,NA,NA,NA,NA,10.13416667,10.11666667,9.495,9.643333333,8.4275,9.848333333,14.37177,14.83743,14.20204,14.84874,15.85649,12.68396,NA,NA,NA,16,17,14,12.72664,12.02083,10.29638,10.94905,12.60092,12.09127,33,,,,,,,,,,,,,,,,,,,,,
Glasgow Nithsdale Road,Roadside,257886.88,662669.31,NA,NA,NA,NA,NA,NA,10.145,10.13333333,9.52,9.663333333,8.451666667,9.866666667,22.65455,19.58395,18.23326,17.87244,21.27527,17.89859,NA,NA,21,17,21,18,15.32469,13.3235,11.41149,11.97297,13.94831,13.542,59,,,,,,,,,,,,,,,,,,,,,
Glasgow Abercromby Street,Roadside,260421.31,664179.65,NA,NA,NA,NA,NA,NA,10.38583333,10.36916667,9.78,9.91,8.700833333,10.12416667,29.22737,24.00467,21.67789,21.38069,26.55392,21.53904,NA,NA,19,18,21,18,17.44209,14.4333,12.38412,12.90258,14.9785,14.65042,58,,,,,,,,,,,,,,,,,,,,,
N Lanarkshire Coatbridge Whifflet,Urban Background,273674.95,663927.14,NA,NA,24,24,NA,NA,9.6625,9.629166667,9.073333333,9.19,7.985833333,9.411666667,19.67717,20.12588,20.05042,20.8106,21.20561,19.68764,NA,NA,18,14,15,15,14.24189,13.6167,12.50578,13.2167,14.48634,14.32589,95,,,,,,,,,,,,,,,,,,,,,
N Lanarkshire Motherwell,Roadside,275540.87,656789.09,NA,NA,NA,NA,NA,NA,9.805833333,9.763333333,9.219166667,9.331666667,8.131666667,9.5575,17.64467,25.6613,26.84464,28.05405,34.69958,19.58075,NA,NA,26,17,NA,14,13.47512,13.89247,12.84005,12.71674,14.49326,13.79449,43,,,,,,,,,,,,,,,,,,,,,
Falkirk Banknock,Roadside,277247,679027,NA,NA,NA,NA,NA,NA,7.750833333,7.726666667,7.18,7.295833333,6.09,7.511666667,11.64577,9.916547,9.890406,10.92298,11.02274,9.545999,NA,NA,NA,NA,NA,NA,11.60719,10.59322,9.758312,10.52837,11.57259,11.58972,0,,,,,,,,,,,,,,,,,,,,,
Alloa,Roadside,288684.05,693059.02,NA,NA,NA,NA,NA,NA,8.679166667,8.656666667,8.1075,8.22,6.983333333,8.443333333,12.26852,14.47653,15.50087,19.56834,17.66521,14.61336,NA,22,20,17,17,16,13.00552,12.29467,11.23579,11.57307,12.54255,12.55269,76,,,,,,,,,,,,,,,,,,,,,
Perth Muirton,Urban Background,310659.25,725658.62,NA,NA,NA,NA,NA,NA,9.295,9.23,8.6325,8.755833333,7.5125,9.041666667,10.3937,12.00065,11.81118,12.89021,13.42956,13.58731,NA,NA,NA,NA,NA,NA,10.92095,11.11334,10.07859,11.19642,12.29277,12.54928,0,,,,,,,,,,,,,,,,,,,,,
Auchencorth Moss,Rural,322165.87,656128.11,NA,NA,NA,NA,NA,NA,7.774166667,7.624166667,7.163333333,7.333333333,6.065833333,7.576666667,5.305696,5.479863,5.02723,5.989462,5.860533,4.715672,NA,6,7,NA,NA,7,9.885631,9.730886,8.479404,8.447575,10.15907,9.648338,13,,NA,58,60,56,56,NA,4,3,3,NA,,,,,,,,,,
Dundee Broughty Ferry Road,Urban Industrial,341970.73,730976.51,NA,NA,NA,NA,NA,NA,8.793333333,8.684166667,8.1525,8.2725,7.134166667,8.5425,16.49284,15.71384,15.96618,15.11555,16.90815,13.19152,20,18,18,15,16,13,16.21202,14.43361,12.53657,10.58618,12.32662,11.86234,87,,,,,,,,,,,,5,4,3,5,7,,,,,
Aberdeen Anderson Dr,Roadside,392504.39,804189.75,NA,28,25,24,27,23,8.609166667,8.590833333,8.161666667,8.345,7.108333333,8.5675,16.98097,16.77007,17.24599,17.71657,19.11859,15.679,18,17,18,15,14,22,12.50181,11.88196,10.88727,12.25389,13.25543,13.48627,186,,,,,,,,,,,,,,,,,,,,,
Aberdeen Wellington Road,Roadside,394410.99,804813.2,NA,NA,NA,43,52,51,8.609166667,8.590833333,8.161666667,8.345,7.108333333,8.5675,19.06621,18.7154,22.23678,24.11676,28.84146,25.35646,NA,NA,NA,23,22,16,12.69652,12.14294,11.59788,13.07977,14.10028,15.05486,140,,,,,,,,,,,,,,,,,,,,,
